date,time,road,volume
19,20,3510000450-3510000400,2320
19,21,3510000450-3510000400,2204
19,22,3510000450-3510000400,1805
19,20,3510000400-3510000450,2013
19,21,3510000400-3510000450,1949
19,22,3510000400-3510000450,1423
20,20,3500007900-3500007500,1229
20,21,3500007900-3500007500,1076
20,22,3500007900-3500007500,792
20,20,3500007500-3500007900,1013
20,21,3500007500-3500007900,968
20,22,3500007500-3500007900,617
20,20,3500006700-3500007500,871
20,21,3500006700-3500007500,816
20,22,3500006700-3500007500,523
20,20,3500007500-3500006700,1017
20,21,3500007500-3500006700,909
20,22,3500007500-3500006700,745
20,20,3500059000-3500007500,625
20,21,3500059000-3500007500,599
20,22,3500059000-3500007500,333
20,20,3500007500-3500059000,869
20,21,3500007500-3500059000,663
20,22,3500007500-3500059000,611
20,20,3510000500-3510000400,1913
20,21,3510000500-3510000400,1623
20,22,3510000500-3510000400,1030
20,20,3510000400-3510000500,1775
20,21,3510000400-3510000500,1475
20,22,3510000400-3510000500,1279
20,20,3510000450-3510000400,1843
20,21,3510000450-3510000400,1576
20,22,3510000450-3510000400,1394
20,20,3510000400-3510000450,1904
20,21,3510000400-3510000450,1610
20,22,3510000400-3510000450,1067
21,20,3500007900-3500007500,1075
21,21,3500007900-3500007500,961
21,22,3500007900-3500007500,723
21,20,3500007500-3500007900,805
21,21,3500007500-3500007900,776
21,22,3500007500-3500007900,582
21,20,3500006700-3500007500,688
21,21,3500006700-3500007500,662
21,22,3500006700-3500007500,503
21,20,3500007500-3500006700,885
21,21,3500007500-3500006700,769
21,22,3500007500-3500006700,632
21,20,3500059000-3500007500,587
21,21,3500059000-3500007500,444
21,22,3500059000-3500007500,332
21,20,3500007500-3500059000,615
21,21,3500007500-3500059000,560
21,22,3500007500-3500059000,507
21,20,3510000500-3510000400,1603
21,21,3510000500-3510000400,1357
21,22,3510000500-3510000400,983
21,20,3510000400-3510000500,1470
21,21,3510000400-3510000500,1325
21,22,3510000400-3510000500,1152
21,20,3510000450-3510000400,1528
21,21,3510000450-3510000400,1402
21,22,3510000450-3510000400,1258
21,20,3510000400-3510000450,1591
21,21,3510000400-3510000450,1351
21,22,3510000400-3510000450,1007
22,20,3500007900-3500007500,1329
22,21,3500007900-3500007500,1358
22,22,3500007900-3500007500,990
22,20,3500007500-3500007900,1067
22,21,3500007500-3500007900,1061
22,22,3500007500-3500007900,683
22,20,3500006700-3500007500,914
22,21,3500006700-3500007500,946
22,22,3500006700-3500007500,577
22,20,3500007500-3500006700,1089
22,21,3500007500-3500006700,1185
22,22,3500007500-3500006700,840
22,20,3500059000-3500007500,884
22,21,3500059000-3500007500,792
22,22,3500059000-3500007500,395
22,20,3500007500-3500059000,1292
22,21,3500007500-3500059000,1278
22,22,3500007500-3500059000,760
22,20,3510000500-3510000400,1970
22,21,3510000500-3510000400,1800
22,22,3510000500-3510000400,1140
22,20,3510000400-3510000500,2195
22,21,3510000400-3510000500,2286
22,22,3510000400-3510000500,1584
22,20,3510000450-3510000400,2089
22,21,3510000450-3510000400,2272
22,22,3510000450-3510000400,1683
22,20,3510000400-3510000450,2022
22,21,3510000400-3510000450,1821
22,22,3510000400-3510000450,1162
23,20,3500007900-3500007500,1429
23,21,3500007900-3500007500,1304
23,22,3500007900-3500007500,985
23,20,3500007500-3500007900,1126
23,21,3500007500-3500007900,1015
23,22,3500007500-3500007900,679
23,20,3500006700-3500007500,939
23,21,3500006700-3500007500,873
23,22,3500006700-3500007500,558
23,20,3500007500-3500006700,1227
23,21,3500007500-3500006700,1153
23,22,3500007500-3500006700,830
23,20,3500059000-3500007500,894
23,21,3500059000-3500007500,844
23,22,3500059000-3500007500,404
23,20,3500007500-3500059000,1343
23,21,3500007500-3500059000,1268
23,22,3500007500-3500059000,770
23,20,3510000500-3510000400,1974
23,21,3510000500-3510000400,1749
23,22,3510000500-3510000400,1143
23,20,3510000400-3510000500,2261
23,21,3510000400-3510000500,2175
23,22,3510000400-3510000500,1520
23,20,3510000450-3510000400,2197
23,21,3510000450-3510000400,2139
23,22,3510000450-3510000400,1660
23,20,3510000400-3510000450,2014
23,21,3510000400-3510000450,1741
23,22,3510000400-3510000450,1166
25,20,3500007900-3500007500,1455
25,21,3500007900-3500007500,1353
25,22,3500007900-3500007500,1008
25,20,3500007500-3500007900,1062
25,21,3500007500-3500007900,1067
25,22,3500007500-3500007900,727
25,20,3500006700-3500007500,922
25,21,3500006700-3500007500,975
25,22,3500006700-3500007500,620
25,20,3500007500-3500006700,1256
25,21,3500007500-3500006700,1151
25,22,3500007500-3500006700,853
25,20,3500059000-3500007500,861
25,21,3500059000-3500007500,859
25,22,3500059000-3500007500,485
25,20,3500007500-3500059000,1181
25,21,3500007500-3500059000,1223
25,22,3500007500-3500059000,787
25,20,3510000500-3510000400,1934
25,21,3510000500-3510000400,1875
25,22,3510000500-3510000400,1265
25,20,3510000400-3510000500,2232
25,21,3510000400-3510000500,2210
25,22,3510000400-3510000500,1580
25,20,3510000450-3510000400,2208
25,21,3510000450-3510000400,2168
25,22,3510000450-3510000400,1741
25,20,3510000400-3510000450,1924
25,21,3510000400-3510000450,1868
25,22,3510000400-3510000450,1271
26,20,3500007900-3500007500,1427
26,21,3500007900-3500007500,1426
26,22,3500007900-3500007500,1103
26,20,3500007500-3500007900,1070
26,21,3500007500-3500007900,1129
26,22,3500007500-3500007900,829
26,20,3500006700-3500007500,961
26,21,3500006700-3500007500,990
26,22,3500006700-3500007500,702
26,20,3500007500-3500006700,1292
26,21,3500007500-3500006700,1184
26,22,3500007500-3500006700,927
26,20,3500059000-3500007500,860
26,21,3500059000-3500007500,927
26,22,3500059000-3500007500,558
26,20,3500007500-3500059000,1317
26,21,3500007500-3500059000,1033
26,22,3500007500-3500059000,732
26,20,3510000500-3510000400,2051
26,21,3510000500-3510000400,1950
26,22,3510000500-3510000400,1405
26,20,3510000400-3510000500,2437
26,21,3510000400-3510000500,2270
26,22,3510000400-3510000500,1609
26,20,3510000450-3510000400,2325
26,21,3510000450-3510000400,2226
26,22,3510000450-3510000400,1692
26,20,3510000400-3510000450,2074
26,21,3510000400-3510000450,1958
26,22,3510000400-3510000450,1405
27,20,3500007900-3500007500,1247
27,21,3500007900-3500007500,1250
27,22,3500007900-3500007500,1032
27,20,3500007500-3500007900,1060
27,21,3500007500-3500007900,893
27,22,3500007500-3500007900,770
27,20,3500006700-3500007500,877
27,21,3500006700-3500007500,780
27,22,3500006700-3500007500,640
27,20,3500007500-3500006700,1101
27,21,3500007500-3500006700,1016
27,22,3500007500-3500006700,840
27,20,3500059000-3500007500,707
27,21,3500059000-3500007500,579
27,22,3500059000-3500007500,448
27,20,3500007500-3500059000,854
27,21,3500007500-3500059000,738
27,22,3500007500-3500059000,691
27,20,3510000500-3510000400,1999
27,21,3510000500-3510000400,1807
27,22,3510000500-3510000400,1349
27,20,3510000400-3510000500,1838
27,21,3510000400-3510000500,1754
27,22,3510000400-3510000500,1468
27,20,3510000450-3510000400,1898
27,21,3510000450-3510000400,1781
27,22,3510000450-3510000400,1569
27,20,3510000400-3510000450,1977
27,21,3510000400-3510000450,1790
27,22,3510000400-3510000450,1350
28,20,3500007900-3500007500,1169
28,21,3500007900-3500007500,1074
28,22,3500007900-3500007500,940
28,20,3500007500-3500007900,958
28,21,3500007500-3500007900,896
28,22,3500007500-3500007900,706
28,20,3500006700-3500007500,808
28,21,3500006700-3500007500,815
28,22,3500006700-3500007500,619
28,20,3500007500-3500006700,1040
28,21,3500007500-3500006700,850
28,22,3500007500-3500006700,799
28,20,3500059000-3500007500,652
28,21,3500059000-3500007500,535
28,22,3500059000-3500007500,411
28,20,3500007500-3500059000,798
28,21,3500007500-3500059000,656
28,22,3500007500-3500059000,573
28,20,3510000500-3510000400,1727
28,21,3510000500-3510000400,1647
28,22,3510000500-3510000400,1214
28,20,3510000400-3510000500,1698
28,21,3510000400-3510000500,1446
28,22,3510000400-3510000500,1318
28,20,3510000450-3510000400,1711
28,21,3510000450-3510000400,1496
28,22,3510000450-3510000400,1430
28,20,3510000400-3510000450,1741
28,21,3510000400-3510000450,1634
28,22,3510000400-3510000450,1201
29,20,3500007900-3500007500,1325
29,21,3500007900-3500007500,1292
29,22,3500007900-3500007500,890
29,20,3500007500-3500007900,1067
29,21,3500007500-3500007900,1037
29,22,3500007500-3500007900,662
29,20,3500006700-3500007500,911
29,21,3500006700-3500007500,891
29,22,3500006700-3500007500,599
29,20,3500007500-3500006700,1102
29,21,3500007500-3500006700,1130
29,22,3500007500-3500006700,774
29,20,3500059000-3500007500,870
29,21,3500059000-3500007500,829
29,22,3500059000-3500007500,410
29,20,3500007500-3500059000,1339
29,21,3500007500-3500059000,1249
29,22,3500007500-3500059000,722
29,20,3510000500-3510000400,1915
29,21,3510000500-3510000400,1737
29,22,3510000500-3510000400,1113
29,20,3510000400-3510000500,2292
29,21,3510000400-3510000500,2165
29,22,3510000400-3510000500,1479
29,20,3510000450-3510000400,2259
29,21,3510000450-3510000400,2126
29,22,3510000450-3510000400,1569
29,20,3510000400-3510000450,1920
29,21,3510000400-3510000450,1763
29,22,3510000400-3510000450,1135
30,20,3500007900-3500007500,1405
30,21,3500007900-3500007500,1379
30,22,3500007900-3500007500,1060
30,20,3500007500-3500007900,1127
30,21,3500007500-3500007900,1072
30,22,3500007500-3500007900,734
30,20,3500006700-3500007500,968
30,21,3500006700-3500007500,960
30,22,3500006700-3500007500,587
30,20,3500007500-3500006700,1226
30,21,3500007500-3500006700,1187
30,22,3500007500-3500006700,914
30,20,3500059000-3500007500,836
30,21,3500059000-3500007500,851
30,22,3500059000-3500007500,461
30,20,3500007500-3500059000,1328
30,21,3500007500-3500059000,1319
30,22,3500007500-3500059000,815
30,20,3510000500-3510000400,1919
30,21,3510000500-3510000400,1745
30,22,3510000500-3510000400,1254
30,20,3510000400-3510000500,2299
30,21,3510000400-3510000500,2233
30,22,3510000400-3510000500,1565
30,20,3510000450-3510000400,2278
30,21,3510000450-3510000400,2182
30,22,3510000450-3510000400,1700
30,20,3510000400-3510000450,1960
30,21,3510000400-3510000450,1719
