date,time,road,speed
6,22,3500008000-3500007900,43
6,20,3500007900-3500007500,33
6,21,3500007900-3500007500,41
6,22,3500007900-3500007500,43
7,20,3500008000-3500007900,32
7,21,3500008000-3500007900,33
7,22,3500008000-3500007900,42
7,20,3500007900-3500007500,32
7,21,3500007900-3500007500,33
7,22,3500007900-3500007500,42
8,20,3500008000-3500007900,37
8,21,3500008000-3500007900,40
8,22,3500008000-3500007900,43
8,20,3500007900-3500007500,37
8,21,3500007900-3500007500,40
8,22,3500007900-3500007500,43
9,20,3500008000-3500007900,38
9,21,3500008000-3500007900,40
9,22,3500008000-3500007900,41
9,20,3500007900-3500007500,38
9,21,3500007900-3500007500,40
9,22,3500007900-3500007500,41
10,20,3500008000-3500007900,38
10,21,3500008000-3500007900,39
10,22,3500008000-3500007900,40
10,20,3500007900-3500007500,38
10,21,3500007900-3500007500,39
10,22,3500007900-3500007500,40
11,20,3500008000-3500007900,38
11,21,3500008000-3500007900,38
11,22,3500008000-3500007900,39
11,20,3500007900-3500007500,38
11,21,3500007900-3500007500,38
11,22,3500007900-3500007500,39
12,20,3500008000-3500007900,34
12,21,3500008000-3500007900,37
12,22,3500008000-3500007900,37
12,20,3500007900-3500007500,34
12,21,3500007900-3500007500,37
12,22,3500007900-3500007500,37
13,20,3500008000-3500007900,30
13,21,3500008000-3500007900,34
13,22,3500008000-3500007900,37
13,20,3500007900-3500007500,30
13,21,3500007900-3500007500,34
13,22,3500007900-3500007500,37
14,20,3500008000-3500007900,30
14,21,3500008000-3500007900,30
14,22,3500008000-3500007900,35
14,20,3500007900-3500007500,30
14,21,3500007900-3500007500,30
14,22,3500007900-3500007500,35
15,20,3500008000-3500007900,35
15,21,3500008000-3500007900,37
15,22,3500008000-3500007900,36
15,20,3500007900-3500007500,35
15,21,3500007900-3500007500,37
15,22,3500007900-3500007500,36
16,20,3500008000-3500007900,33
16,21,3500008000-3500007900,35
16,22,3500008000-3500007900,34
16,20,3500007900-3500007500,33
16,21,3500007900-3500007500,35
16,22,3500007900-3500007500,34
17,20,3500008000-3500007900,34
17,21,3500008000-3500007900,35
17,22,3500008000-3500007900,36
17,20,3500007900-3500007500,34
17,21,3500007900-3500007500,35
17,22,3500007900-3500007500,36
18,20,3500008000-3500007900,34
18,21,3500008000-3500007900,35
18,22,3500008000-3500007900,36
18,20,3500007900-3500007500,34
18,21,3500007900-3500007500,35
18,22,3500007900-3500007500,36
19,20,3500008000-3500007900,36
19,21,3500008000-3500007900,38
19,22,3500008000-3500007900,37
19,20,3500007900-3500007500,36
19,21,3500007900-3500007500,38
19,22,3500007900-3500007500,37
20,20,3500008000-3500007900,31
20,21,3500008000-3500007900,35
20,22,3500008000-3500007900,37
20,20,3500007900-3500007500,31
20,21,3500007900-3500007500,35
20,22,3500007900-3500007500,37
21,20,3500008000-3500007900,31
21,21,3500008000-3500007900,31
21,22,3500008000-3500007900,36
21,20,3500007900-3500007500,31
21,21,3500007900-3500007500,31
21,22,3500007900-3500007500,36
22,20,3500008000-3500007900,35
22,21,3500008000-3500007900,35
22,22,3500008000-3500007900,37
22,20,3500007900-3500007500,35
22,21,3500007900-3500007500,35
22,22,3500007900-3500007500,37
23,20,3500008000-3500007900,35
23,21,3500008000-3500007900,37
23,22,3500008000-3500007900,37
23,20,3500007900-3500007500,35
23,21,3500007900-3500007500,37
23,22,3500007900-3500007500,37
25,20,3500008000-3500007900,35
25,21,3500008000-3500007900,38
25,22,3500008000-3500007900,37
25,20,3500007900-3500007500,35
25,21,3500007900-3500007500,38
25,22,3500007900-3500007500,37
26,20,3500008000-3500007900,33
26,21,3500008000-3500007900,36
26,22,3500008000-3500007900,36
26,20,3500007900-3500007500,33
26,21,3500007900-3500007500,36
