date,time,road,volume
4,19,3500007100-3500006900,595
4,20,3500007100-3500006900,402
4,21,3500007100-3500006900,393
4,22,3500007100-3500006900,282
4,23,3500007100-3500006900,158
4,0,3500058900-3500007100,93
4,1,3500058900-3500007100,89
4,2,3500058900-3500007100,77
4,3,3500058900-3500007100,74
4,4,3500058900-3500007100,68
4,5,3500058900-3500007100,231
4,6,3500058900-3500007100,975
4,7,3500058900-3500007100,1070
4,8,3500058900-3500007100,878
4,9,3500058900-3500007100,797
4,10,3500058900-3500007100,789
4,11,3500058900-3500007100,698
4,12,3500058900-3500007100,771
4,13,3500058900-3500007100,791
4,14,3500058900-3500007100,769
4,15,3500058900-3500007100,676
4,16,3500058900-3500007100,756
4,17,3500058900-3500007100,715
4,18,3500058900-3500007100,743
4,19,3500058900-3500007100,529
4,20,3500058900-3500007100,478
4,21,3500058900-3500007100,425
4,22,3500058900-3500007100,341
4,23,3500058900-3500007100,212
4,0,3500007100-3500058900,72
4,1,3500007100-3500058900,94
4,2,3500007100-3500058900,59
4,3,3500007100-3500058900,48
4,4,3500007100-3500058900,48
4,5,3500007100-3500058900,131
4,6,3500007100-3500058900,466
4,7,3500007100-3500058900,461
4,8,3500007100-3500058900,900
4,9,3500007100-3500058900,799
4,10,3500007100-3500058900,720
4,11,3500007100-3500058900,786
4,12,3500007100-3500058900,713
4,13,3500007100-3500058900,790
4,14,3500007100-3500058900,823
4,15,3500007100-3500058900,824
4,16,3500007100-3500058900,938
4,17,3500007100-3500058900,1001
4,18,3500007100-3500058900,945
4,19,3500007100-3500058900,603
4,20,3500007100-3500058900,486
4,21,3500007100-3500058900,425
4,22,3500007100-3500058900,322
4,23,3500007100-3500058900,184
5,0,3500007500-3500007400,118
5,1,3500007500-3500007400,57
5,2,3500007500-3500007400,55
5,3,3500007500-3500007400,38
5,4,3500007500-3500007400,123
5,5,3500007500-3500007400,428
5,6,3500007500-3500007400,1329
5,7,3500007500-3500007400,1193
5,8,3500007500-3500007400,1365
5,9,3500007500-3500007400,997
5,10,3500007500-3500007400,916
5,11,3500007500-3500007400,907
5,12,3500007500-3500007400,828
5,13,3500007500-3500007400,913
5,14,3500007500-3500007400,894
5,15,3500007500-3500007400,856
5,16,3500007500-3500007400,924
5,17,3500007500-3500007400,1109
5,18,3500007500-3500007400,1086
5,19,3500007500-3500007400,667
5,20,3500007500-3500007400,504
5,21,3500007500-3500007400,443
5,22,3500007500-3500007400,362
5,23,3500007500-3500007400,219
5,0,3500007400-3500007100,118
5,1,3500007400-3500007100,57
5,2,3500007400-3500007100,55
5,3,3500007400-3500007100,38
5,4,3500007400-3500007100,123
5,5,3500007400-3500007100,428
5,6,3500007400-3500007100,1329
5,7,3500007400-3500007100,1193
5,8,3500007400-3500007100,1365
5,9,3500007400-3500007100,997
5,10,3500007400-3500007100,916
5,11,3500007400-3500007100,907
5,12,3500007400-3500007100,828
5,13,3500007400-3500007100,913
5,14,3500007400-3500007100,894
5,15,3500007400-3500007100,856
5,16,3500007400-3500007100,924
5,17,3500007400-3500007100,1109
5,18,3500007400-3500007100,1086
5,19,3500007400-3500007100,667
5,20,3500007400-3500007100,504
5,21,3500007400-3500007100,443
5,22,3500007400-3500007100,362
5,23,3500007400-3500007100,219
5,0,3500007100-3500007400,106
5,1,3500007100-3500007400,79
5,2,3500007100-3500007400,58
5,3,3500007100-3500007400,41
5,4,3500007100-3500007400,72
5,5,3500007100-3500007400,122
5,6,3500007100-3500007400,459
5,7,3500007100-3500007400,755
5,8,3500007100-3500007400,879
5,9,3500007100-3500007400,911
5,10,3500007100-3500007400,952
5,11,3500007100-3500007400,1025
5,12,3500007100-3500007400,1021
5,13,3500007100-3500007400,961
5,14,3500007100-3500007400,957
5,15,3500007100-3500007400,1110
5,16,3500007100-3500007400,1180
5,17,3500007100-3500007400,1466
5,18,3500007100-3500007400,1390
5,19,3500007100-3500007400,797
5,20,3500007100-3500007400,453
5,21,3500007100-3500007400,415
5,22,3500007100-3500007400,305
5,23,3500007100-3500007400,179
5,0,3500007400-3500007500,106
5,1,3500007400-3500007500,79
5,2,3500007400-3500007500,58
5,3,3500007400-3500007500,41
5,4,3500007400-3500007500,72
5,5,3500007400-3500007500,122
5,6,3500007400-3500007500,459
5,7,3500007400-3500007500,755
5,8,3500007400-3500007500,879
5,9,3500007400-3500007500,911
5,10,3500007400-3500007500,952
5,11,3500007400-3500007500,1025
5,12,3500007400-3500007500,1021
5,13,3500007400-3500007500,961
5,14,3500007400-3500007500,957
5,15,3500007400-3500007500,1110
5,16,3500007400-3500007500,1180
5,17,3500007400-3500007500,1466
5,18,3500007400-3500007500,1390
5,19,3500007400-3500007500,797
5,20,3500007400-3500007500,453
5,21,3500007400-3500007500,415
5,22,3500007400-3500007500,305
5,23,3500007400-3500007500,179
