date,time,road,speed
12,17,3500007700-3500056400,34
12,18,3500007700-3500056400,33
12,19,3500007700-3500056400,36
12,20,3500007700-3500056400,42
12,21,3500007700-3500056400,41
12,22,3500007700-3500056400,46
12,23,3500007700-3500056400,48
12,0,3500007700-3500081900,46
12,1,3500007700-3500081900,46
12,2,3500007700-3500081900,45
12,3,3500007700-3500081900,47
12,4,3500007700-3500081900,46
12,5,3500007700-3500081900,45
12,6,3500007700-3500081900,37
12,7,3500007700-3500081900,30
12,8,3500007700-3500081900,36
12,9,3500007700-3500081900,37
12,10,3500007700-3500081900,40
12,11,3500007700-3500081900,35
12,12,3500007700-3500081900,37
12,13,3500007700-3500081900,37
12,14,3500007700-3500081900,0
12,15,3500007700-3500081900,34
12,16,3500007700-3500081900,36
12,17,3500007700-3500081900,34
12,18,3500007700-3500081900,33
12,19,3500007700-3500081900,36
12,20,3500007700-3500081900,42
12,21,3500007700-3500081900,41
12,22,3500007700-3500081900,46
12,23,3500007700-3500081900,48
13,0,3500007700-3500056400,47
13,1,3500007700-3500056400,43
13,2,3500007700-3500056400,44
13,3,3500007700-3500056400,45
13,4,3500007700-3500056400,46
13,5,3500007700-3500056400,46
13,6,3500007700-3500056400,41
13,7,3500007700-3500056400,40
13,8,3500007700-3500056400,40
13,9,3500007700-3500056400,38
13,10,3500007700-3500056400,38
13,11,3500007700-3500056400,35
13,12,3500007700-3500056400,35
13,13,3500007700-3500056400,36
13,14,3500007700-3500056400,0
13,15,3500007700-3500056400,37
13,16,3500007700-3500056400,36
13,17,3500007700-3500056400,38
13,18,3500007700-3500056400,36
13,19,3500007700-3500056400,42
13,20,3500007700-3500056400,42
13,21,3500007700-3500056400,39
13,22,3500007700-3500056400,46
13,23,3500007700-3500056400,45
13,0,3500007700-3500081900,47
13,1,3500007700-3500081900,43
13,2,3500007700-3500081900,44
13,3,3500007700-3500081900,45
13,4,3500007700-3500081900,46
13,5,3500007700-3500081900,46
13,6,3500007700-3500081900,41
13,7,3500007700-3500081900,40
13,8,3500007700-3500081900,40
13,9,3500007700-3500081900,38
13,10,3500007700-3500081900,38
13,11,3500007700-3500081900,35
13,12,3500007700-3500081900,35
13,13,3500007700-3500081900,36
13,14,3500007700-3500081900,0
13,15,3500007700-3500081900,37
13,16,3500007700-3500081900,36
13,17,3500007700-3500081900,38
13,18,3500007700-3500081900,36
13,19,3500007700-3500081900,42
13,20,3500007700-3500081900,42
13,21,3500007700-3500081900,39
13,22,3500007700-3500081900,46
13,23,3500007700-3500081900,45
14,0,3500007700-3500056400,51
14,1,3500007700-3500056400,49
14,2,3500007700-3500056400,52
14,3,3500007700-3500056400,52
14,4,3500007700-3500056400,49
14,5,3500007700-3500056400,51
14,6,3500007700-3500056400,48
14,7,3500007700-3500056400,45
14,8,3500007700-3500056400,41
14,9,3500007700-3500056400,38
14,10,3500007700-3500056400,41
14,11,3500007700-3500056400,40
14,12,3500007700-3500056400,38
14,13,3500007700-3500056400,39
14,14,3500007700-3500056400,0
14,15,3500007700-3500056400,39
14,16,3500007700-3500056400,39
14,17,3500007700-3500056400,36
14,18,3500007700-3500056400,35
14,19,3500007700-3500056400,42
14,20,3500007700-3500056400,43
14,21,3500007700-3500056400,39
14,22,3500007700-3500056400,45
14,23,3500007700-3500056400,47
14,0,3500007700-3500081900,51
14,1,3500007700-3500081900,49
14,2,3500007700-3500081900,52
14,3,3500007700-3500081900,52
14,4,3500007700-3500081900,49
14,5,3500007700-3500081900,51
14,6,3500007700-3500081900,48
14,7,3500007700-3500081900,45
14,8,3500007700-3500081900,41
14,9,3500007700-3500081900,38
14,10,3500007700-3500081900,41
14,11,3500007700-3500081900,40
14,12,3500007700-3500081900,38
14,13,3500007700-3500081900,39
14,14,3500007700-3500081900,0
14,15,3500007700-3500081900,39
14,16,3500007700-3500081900,39
14,17,3500007700-3500081900,36
14,18,3500007700-3500081900,35
14,19,3500007700-3500081900,42
14,20,3500007700-3500081900,43
14,21,3500007700-3500081900,39
14,22,3500007700-3500081900,45
14,23,3500007700-3500081900,47
15,0,3500007700-3500056400,48
15,1,3500007700-3500056400,45
15,2,3500007700-3500056400,46
15,3,3500007700-3500056400,46
15,4,3500007700-3500056400,47
15,5,3500007700-3500056400,45
15,6,3500007700-3500056400,39
15,7,3500007700-3500056400,30
15,8,3500007700-3500056400,33
15,9,3500007700-3500056400,39
15,10,3500007700-3500056400,37
15,11,3500007700-3500056400,33
15,12,3500007700-3500056400,36
15,13,3500007700-3500056400,36
15,14,3500007700-3500056400,0
15,15,3500007700-3500056400,35
15,16,3500007700-3500056400,36
15,17,3500007700-3500056400,34
15,18,3500007700-3500056400,34
15,19,3500007700-3500056400,37
15,20,3500007700-3500056400,40
15,21,3500007700-3500056400,39
15,22,3500007700-3500056400,37
15,23,3500007700-3500056400,38
15,0,3500007700-3500081900,48
15,1,3500007700-3500081900,45
15,2,3500007700-3500081900,46
15,3,3500007700-3500081900,46
15,4,3500007700-3500081900,47
15,5,3500007700-3500081900,45
15,6,3500007700-3500081900,39
15,7,3500007700-3500081900,30
15,8,3500007700-3500081900,33
15,9,3500007700-3500081900,39
15,10,3500007700-3500081900,37
15,11,3500007700-3500081900,33
15,12,3500007700-3500081900,36
15,13,3500007700-3500081900,36
15,14,3500007700-3500081900,0
15,15,3500007700-3500081900,35
15,16,3500007700-3500081900,36
15,17,3500007700-3500081900,34
15,18,3500007700-3500081900,34
15,19,3500007700-3500081900,37
15,20,3500007700-3500081900,40
15,21,3500007700-3500081900,39
15,22,3500007700-3500081900,37
15,23,3500007700-3500081900,38
16,0,3500007700-3500056400,44
16,1,3500007700-3500056400,49
16,2,3500007700-3500056400,50
16,3,3500007700-3500056400,46
16,4,3500007700-3500056400,46
16,5,3500007700-3500056400,46
16,6,3500007700-3500056400,40
16,7,3500007700-3500056400,28
16,8,3500007700-3500056400,33
16,9,3500007700-3500056400,39
16,10,3500007700-3500056400,38
16,11,3500007700-3500056400,38
16,12,3500007700-3500056400,39
16,13,3500007700-3500056400,36
16,14,3500007700-3500056400,0
16,15,3500007700-3500056400,36
16,16,3500007700-3500056400,37
16,17,3500007700-3500056400,36
16,18,3500007700-3500056400,35
16,19,3500007700-3500056400,35
16,20,3500007700-3500056400,38
16,21,3500007700-3500056400,42
16,22,3500007700-3500056400,42
16,23,3500007700-3500056400,43
16,0,3500007700-3500081900,44
16,1,3500007700-3500081900,49
16,2,3500007700-3500081900,50
16,3,3500007700-3500081900,46
16,4,3500007700-3500081900,46
16,5,3500007700-3500081900,46
16,6,3500007700-3500081900,40
16,7,3500007700-3500081900,28
16,8,3500007700-3500081900,33
16,9,3500007700-3500081900,39
16,10,3500007700-3500081900,38
